Rank,Player,Height (cm),Minutes played 17/18,Headed Goals Scored 17/18,Goals Scored 17/18,Minutes played 16/17,Headed Goals Scored 16/17,Goals Scored 16/17,Minutes played 15/16,Headed Goals Scored 15/16,Goals Scored 15/16,Minutes played 14/15,Headed Goals Scored 14/15,Goals Scored 14/15,Total Headed Goals Scored,Total Goals Scored,Total Minutes Played
66,Hal Robson-Kanu,185,822,0,2,683,0,3,0,0,0,0,0,0,0,5,1505
67,Andy Carroll,193,746,1,3,1313,2,7,1434,5,9,1027,2,5,10,24,4520
68,Wilfried Bony,180,704,0,2,690,1,2,1223,2,4,1598,0,11,3,19,4215
69,Jese,178,616,0,1,0,0,0,0,0,0,0,0,0,0,1,616
70,Lys Mousset,184,585,1,2,265,0,0,0,0,0,0,0,0,1,2,850
71,Dominic Solanke,187,583,0,0,0,0,0,0,0,0,0,0,0,0,0,583
72,Nikola Vlasic,178,575,0,0,0,0,0,0,0,0,0,0,0,0,0,575
73,Daniel Sturridge,188,547,0,2,769,1,3,979,3,8,750,0,4,4,17,3045
74,Benik Afobe,183,533,0,0,1454,0,6,936,3,4,0,0,0,3,10,2923
75,Saido Berahino,180,485,0,0,966,0,0,1741,0,4,2929,2,14,2,18,6121
76,Guido Carrillo,187,452,0,0,0,0,0,0,0,0,0,0,0,0,0,452
77,Stefano Okaka,186,445,0,1,954,1,4,0,0,0,0,0,0,1,5,1399
78,Gerard Deulofeu,177,438,0,1,457,0,0,1384,0,2,0,0,0,0,3,2279
79,Islam Slimani,188,370,0,1,1279,5,7,0,0,0,0,0,0,5,8,1649
80,Alexander Sorloth,193,360,0,0,0,0,0,0,0,0,0,0,0,0,0,360
81,Michy Batshuayi,185,353,1,2,239,0,5,0,0,0,0,0,0,1,7,592
82,Diafra Sakho,184,294,0,2,181,1,1,1525,0,5,1760,5,10,6,18,3760
83,Leonardo Ulloa,185,281,0,0,435,1,1,968,2,6,2407,3,11,6,18,4091
84,Sandro Ramirez,175,276,0,0,0,0,0,0,0,0,0,0,0,0,0,276
85,Oliver McBurnie,188,269,0,0,77,0,0,0,0,0,0,0,0,0,0,346
86,Danny Ings,178,265,0,1,0,0,0,340,1,2,3033,4,11,5,14,3638
87,Fernando Llorente,193,225,1,1,2453,8,15,0,0,0,0,0,0,9,16,2678
88,Jurgen Locadia,187,223,0,1,0,0,0,0,0,0,0,0,0,0,1,223
89,Joe Lolley,178,219,0,1,0,0,0,0,0,0,0,0,0,0,1,219
90,Nordin Amrabat,179,200,0,0,2101,0,0,501,0,0,0,0,0,0,0,2802
91,Ademola Lookman,174,153,0,0,290,0,1,0,0,0,0,0,0,0,1,443
92,Reiss Nelson,175,146,0,0,0,0,0,0,0,0,0,0,0,0,0,146
93,Rolando Aarons,175,137,0,0,0,0,0,377,0,1,128,1,0,1,1,642
93,Kevin Mirallas,182,137,0,0,2080,0,4,1003,0,4,1421,1,7,1,15,4641
95,Zlatan Ibrahimovic,195,102,0,0,2437,4,17,0,0,0,0,0,0,4,17,2539
96,Aleksandar Mitrovic,187,89,0,1,0,0,0,2113,4,9,0,0,0,4,10,2202
97,Tyrese Campbell,183,75,0,0,0,0,0,0,0,0,0,0,0,0,0,75
98,Bojan,170,72,0,0,475,0,3,1709,1,7,1209,0,4,1,14,3465
99,Nahki Wells,170,46,0,0,0,0,0,0,0,0,0,0,0,0,0,46
100,Phil Foden,171,45,0,0,0,0,0,0,0,0,0,0,0,0,0,45
101,Jonathan Walters,183,36,0,0,1296,2,4,1724,0,5,2423,4,8,6,17,5479
102,Sam Baldock,170,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30
